,date,Bitcoin_close,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS,Oil,Bond2yr,Bond10yr,Phila,M1,NASDAQ,S&P 500,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,AMD,NVIDIA
61,2019-11-01,9261.104492,"1,463.90",107.8614,2.0622,199.0,3.6,1.55,58.12,1.61,1.8121052631578949,"1,716.8",4003.1,8386.4,3066.9,437.4,370.0,675.9,956.2,627.3,1097.4,482.8,1485.1,173.2,325.2,242.5,34.9,50.6
62,2019-12-01,7424.29248,"1,517.01",107.2283,2.31399,199.0,3.6,1.55,61.14,1.58,1.8628571428571428,"1,849.6",4247.0,8665.5,3141.0,431.4,375.2,688.7,960.8,634.1,1148.7,499.0,1543.0,178.2,318.4,238.4,39.2,54.2
63,2020-01-01,7200.174316,"1,589.81",106.6311,2.50042,199.3,3.5,1.55,51.58,1.33,1.7576190476190476,"1,789.9",4060.2,8972.6,3230.8,456.5,385.9,687.6,986.3,647.0,1188.2,511.4,1611.2,181.6,328.4,240.3,45.9,58.8
64,2020-02-01,9392.875,"1,584.74",107.9814,2.33932,196.7,3.5,1.58,44.83,0.86,1.5042105263157897,"1,705.5",3948.7,9150.9,3225.5,405.5,362.0,684.1,992.0,648.2,1154.0,497.1,1673.9,182.8,350.1,243.6,47.0,59.1
65,2020-03-01,8562.454102,"1,571.05",111.8287,1.54287,193.1,4.4,0.65,20.51,0.23,0.87,"1,510.6",4772.3,8567.4,2954.2,343.5,330.7,618.4,915.8,595.2,1075.7,440.7,1549.2,171.2,313.8,227.7,45.5,67.5
66,2020-04-01,6606.776367,"1,680.09",113.4168,0.3452,185.5,14.7,0.05,19.23,0.2,0.6576190476190475,"1,731.2",5108.9,7360.6,2470.5,213.0,270.2,476.2,761.7,550.1,993.0,325.4,1347.7,144.4,264.5,180.9,43.7,60.8
67,2020-05-01,8864.766602,"1,726.30",112.7341,0.22641,188.6,13.2,0.05,35.57,0.16,0.674,"1,852.5",16179.4,8604.9,2830.7,272.3,319.5,526.2,911.7,590.5,1137.9,365.8,1561.7,168.0,283.6,203.8,49.9,70.7
68,2020-06-01,10167.268555,"1,780.67",110.0856,0.71602,191.2,11.0,0.08,39.27,0.16,0.7286363636363636,"1,996.4",16610.0,9552.1,3055.7,296.5,350.3,571.3,1011.4,609.5,1186.1,392.0,1718.9,182.3,305.3,218.8,53.6,88.1
69,2020-07-01,9228.325195,"1,974.69",109.4308,1.01414,193.0,10.2,0.09,40.1,0.11,0.6236363636363637,"2,136.4",16620.0,10154.6,3115.9,280.3,355.5,578.2,1069.9,601.6,1176.1,381.5,1842.0,183.9,293.5,222.0,52.6,95.3
70,2020-08-01,11759.592773,"1,969.75",108.1889,1.30907,194.3,8.4,0.1,42.61,0.14,0.65,"2,260.4",16944.9,10745.3,3271.1,272.1,379.8,605.9,1145.8,642.0,1228.6,399.1,1942.4,191.7,309.1,224.8,77.4,106.1
